CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro (2)/anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Des Moines,Downtown Des Moines,IA,USA,2017-02-02,,200,450,700,220,630,General protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/politics/2017/02/02/hundreds-gather-iowa-capitol-oppose-trumps-travel-ban/97305768/,http://ban.jo/News/US-Canada/20170203/No-Ban-No-Wall-Protest-At-State-Capitol-In-Des-Moines-IA-Des-Moines/,,,,,,
Chicago,Department of Homeland Security ,IL,USA,2017-02-02,,200,200,200,220,180,Chicago Alliance Against Racist and Political Repression,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://chicago.cbslocal.com/2017/02/02/hundreds-gather-in-loop-to-protest-trump-order-on-immigration/,,,,,,,
Baltimore,"Ynot Lot, Charles North neighborhood",MD,USA,2017-02-02,,30,40,50,33,45,Pride Foundation of Maryland,Potential anti-LGBTQ executive order,1,rally ,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-lgbt-rally-20170202-story.html,,,,,,,
Grandville ,Congressman Bill Huizenga's local office ,MI,USA ,2017-02-02,,30,35,40,33,36,General Protest,Congressman support for travel ban,1,demonstration,0,0,0,0,1,1,http://www.mlive.com/news/grand-rapids/index.ssf/2017/02/congressmans_support_of_immigr.html,Estimated through video ,,,,,,
Duluth,U.S. Rep. Rick Nolan’s Duluth office,MN,USA,2017-02-02,,30,30,30,33,27,Boundary Waters supporters,Congressman support for copper mine,1,rally,0,0,0,0,1,1,http://www.duluthnewstribune.com/video/IjEy57zB,,,,,,,
Charlotte,Romare Bearden Park,NC,USA,2017-02-02,,200,200,200,220,180,Charlotte Interfaith Peace and Unity Coalition,protest immigration ban,1,rally,,0,0,0,1,1,http://www.charlotteobserver.com/living/religion/article130455529.html,,,,,,,
Fargo,Civic Center,ND,USA,2017-02-02,,250,325,400,275,360,general protestors,in support of refugees; oppose proposed state legislation that would allow the governor and cities to temporarily ban refugee resettlement,1,protest,0,0,0,0,1,1,http://bismarcktribune.com/news/state-and-regional/hundreds-turn-out-in-opposition-to-north-dakota-house-bill/article_9069da92-2ac2-5cb8-8c55-688e9014ac88.html,,,,,,,
Flemington,Historic Courthouse,NJ,USA,2017-02-02,,200,200,200,220,180,General protest,immigration ban,1,demonstration,0,0,0,0,1,1,http://www.mycentraljersey.com/story/news/local/hunterdon-county/2017/02/02/activists-gather-flemington-protest-trumps-travel-ban/97397548/,,,,,,,
New York City ,City wide,NY,USA,2017-02-02,,1000,1500,2000,1100,1800,Bodega owners,"end the ""muslim ban""",1,strike,0,0,0,0,1,1,https://twitter.com/maitelsadany/status/827227875736690688?ref_src=twsrc%5Etfw,http://www.npr.org/sections/thesalt/2017/02/02/513118265/new-york-city-bodegas-strike-in-protest-of-trumps-travel-ban,https://www.nytimes.com/2017/02/02/nyregion/new-yorks-yemeni-owned-bodegas-close-to-protest-trumps-immigration-ban.html,,,,,
Drexell Hill,Drexelbrook catering,PA,USA,2017-02-02,,100,100,100,110,90,General protest,Sen. Toomey silence,1,demonstration,0,0,0,0,1,1,http://www.phillyvoice.com/activists-gathering-delco-fundraiser-toomey-hopes-he-will-listen/,,,,,,,
Philadelphia,Comcast ,PA,USA,2017-02-02,,800,800,800,880,720,Comcast employees,Immigration ban,1,rally,0,0,0,0,1,1,http://technical.ly/philly/2017/02/02/comcast-protest-sree-kotay/,,,,,,,
West Chester,Comcast ,PA,USA,2017-02-02,,,,,,,Comcast employees,Immigration ban,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/comcast-workers-in-philly-stop-working-to-protest-trumps-immigration-policies/article/2613777,,,,,,,
Austin,Capitol Building,TX,USA,2017-02-02,,400,450,500,440,450,General protestors,"Protest Texas Governor Greg Abbott's withholding of state funding to penalize Austin's commitment as a ""sanctuary city""",1,demonstration,0,0,0,0,1,1,http://www.aljazeera.com/news/2017/02/protests-grow-texas-moves-sanctuary-cities-170202205015258.html,http://www.dallasnews.com/news/texas-legislature/2017/02/02/hundreds-gather-capitol-lawmakers-debate-sanctuary-city-ban,,,,,,
Tempe ,Downtown,AZ,USA,2017-02-03,,200,200,200,220,180,general protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.abc15.com/news/region-southeast-valley/tempe/we-are-all-america-silent-march-through-tempe-expresses-support-for-refugees-immigrants,http://www.azcentral.com/story/news/local/tempe/2017/02/03/hundreds-protest-trump-policies-tempe-march/97467138/,,,,,,
Tucson,6840 N Oracle Rd Ste 150 (Senator Flake's Local Office),AZ,USA,2017-02-03,,50,125,200,55,180,general protestors,protest immigration ban,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1451100144921948/?active_tab=discussion,,,,,,,
Washington DC,From Trump tower to White House,DC,USA,2017-02-03,,200,250,300,220,270,WERK for peace , Trump's orders,1,march/dance,0,0,0,0,1,1,http://wtop.com/dc/2017/02/protesters-dance-trump-hotel-white-house/slide/1/,,,,,,,
Fort Mayne ,Allen County Courthouse,IN,USA,2017-02-03,,300,300,300,330,270,General Protest,Immigration ban,1,demonstration,0,0,0,0,1,1,http://wane.com/2017/02/03/rally-to-protest-trump-executive-orders-set-for-saturday/,,,,,,,
Fredrick,Islamic Society of Fredrick,MD,USA,2017-02-03,,200,200,200,220,180,General protest ,"end the ""Muslim ban""",1,rally,0,0,0,0,1,1,http://www.fredericknewspost.com/news/lifestyle/religion/after-executive-order-banning-immigrants-frederick-rallies-around-local-muslim/article_6fa49f60-670b-5581-9661-3ea4cff7b9e0.html,,,,,,,
Columbia,Boone County Courthouse,MO,USA,2017-02-03,,30,30,30,33,27,"Missouri Rural Crisis Center, Missouri Faith Voices, community members",support ACA,1,rally,0,0,0,0,1,1,http://www.columbiatribune.com/news/local/columbia-residents-rally-in-support-of-the-affordable-care-act/article_b168443f-71be-52ab-a9bf-cf1f20133057.html,,,,,,,
Bozeman,Senator Steve Daines' office,MT,USA,2017-02-03,,300,300,300,330,270,General protestors,Protest immigration ban,1,Demonstration,0,0,0,0,1,1,http://helenair.com/news/local/helena-demonstrators-object-to-travel-ban-support-immigration/article_c8beb6e6-a921-5f35-986e-b48c10d40de3.html,https://www.youtube.com/watch?v=yxL8ldN9k5o,,,,,,
Helena,Downtown Walking Mall ,MT,USA,2017-02-03,,300,300,300,330,270,Montana for Immigrants,Protest immigrant ban,1,Demonstraton,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/local/2017/02/03/rally-celebrates-immigrants-blasts-presidents-order/97470116/,http://helenair.com/news/local/helena-demonstrators-object-to-travel-ban-support-immigration/article_c8beb6e6-a921-5f35-986e-b48c10d40de3.html,,,,,,
Omaha,Nebraska senator Deb Fischer,NE,USA,2017-02-03,,100,150,200,110,180,"Suit Up Nebraska, the Women’s March of Omaha and Indivisible organizations across Nebraska",Protest Betsy DeVos ,1,Demonstration,0,0,0,0,1,1,http://www.kmtv.com/news/local-news/protesters-to-rally-outside-sen-fischers-office,http://www.ketv.com/article/protesters-meet-outside-sen-fischer-s-office/8675041,http://www.omaha.com/news/metro/protest-deb-fischer-s-support-of-betsy-devos-in-omaha/article_6ad89a82-5abb-5a91-a75e-574a0675b8f8.html,,,,,
Rochester ,Rochester City Hall,NY,USA,2017-02-03,,200,200,200,220,180,General Protest,"Against Cutting funding to ""Sanctuary Cities""",1,demonstration,0,0,0,0,1,1,http://www.twcnews.com/nys/rochester/news/2017/02/3/refugee-rally-immigration-ban.html,,,,,,,
New York City ,JFK Airport,NY ,USA,2017-02-03,,150,150,150,165,135,General protest,immigration ban,1,demonstration,0,0,0,0,1,1,http://www.nbcnewyork.com/news/local/Immigrant-Rights-President-Donald-Trump-Travel-Ban-Executive-Order-Syria-Yemen-JFK-Airport-Protest-Detain-412683143.html,,,,,,,
Cleveland ,Market Square,OH,USA,2017-02-03,,200,200,200,220,180,General Protest,Immigration order,1,rally,0,0,0,0,1,1,http://fox8.com/2017/02/03/group-to-protest-trumps-immigration-order-in-cleveland/,,,,,,,
Dayton,Downtown Dayton,OH,USA,2017-02-03,,200,200,200,220,180,General Protest,Trump's travel ban,1,demonstration,0,0,0,0,1,1,http://wdtn.com/2017/02/03/hundreds-protest-against-president-trumps-travel-ban-in-downtown-dayton/,,,,,,,
Stillwater,OSU Campus,OK,USA,2017-02-03,,150,150,150,165,135,General protesters,Resisting fascism,1,protest,0,0,0,0,1,1,http://www.ocolly.com/news/article_7e5efcce-ea93-11e6-a129-0f671057c652.html,,,,,,,
Dallas,Earle Cabell Federal Building,TX,USA,2017-02-03,,100,100,100,110,90,General protestors,Protest keystone pipeline,1,demonstration,0,0,0,0,1,1,http://www.dallasnews.com/news/photos/2017/02/03/watch-protesters-rally-dakota-access-pipelines-dallas,,,,,,,
Houston,Gallaria Mall area,TX,USA,2017-02-03,,100,150,200,110,180,"Houston Socialist Movement, #FightFor15 supporters, anarchists, Familias Inmigrantes y Estudiantes en the Lucha and other activist groups ",Protest immigrant ban and building of wall,1,demonstration,0,0,0,0,1,1,http://www.khou.com/news/local/more-than-200-protest-trumps-immigration-policies-in-galleria-area/397055442,http://www.chron.com/news/houston-texas/article/More-than-100-protest-Trump-immigration-policies-10907517.php,,,,,,
Auburn ,Auburn University,AL,USA,2017-02-04,,190,195,200,209,180,General Protest,Immigration ban,1,March,0,0,0,0,1,1,http://www.oanow.com/news/nearly-auburn-students-faculty-march-to-protest-immigration-ban/article_96a328ba-e970-11e6-984e-b3fc3f91ba72.html,,,,,,,
Tucson,175 W. Alameda (Public Park),AZ,USA,2017-02-04,,50,125,200,55,180,"We the People, Tucson",protest immigration ban,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1636194800020256/?active_tab=discussion,,,,,,,
Roseville,Downtown,CA,USA,2017-02-04,,1000,1000,1000,1100,900,general protestors,protest repeal of Obamacare,1,demonstration,0,0,0,0,1,1,https://www.washingtonpost.com/news/powerpost/wp/2017/02/04/protesters-give-chase-at-saturday-gop-events/?utm_term=.2e1d79f234c0,http://www.sacbee.com/news/politics-government/capitol-alert/article130781279.html,http://www.kcra.com/article/protesters-gather-outside-congressmans-town-hall-meeting/8677095,,,,,
San Francisco,Civic Center Plaza,CA,USA,2017-02-04,,6000,7500,9000,6600,8100,general protestors,protest immigration ban and border wall,1,demonstration ,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Protesters-rally-at-SF-Civic-Center-against-10908931.php,http://www.mercurynews.com/2017/02/04/hundreds-rally-against-trump-immigration-ban-in-sf/,,,,,,
Boulder,Central Park,CO,USA,2017-02-04,,1000,1000,1000,1100,900,general protestors,immigration ban,1,demonstration,0,0,0,0,1,1,http://kdvr.com/2017/02/04/large-crowd-gathers-in-downtown-to-support-muslim-neighbors-in-denver/,,,,,,,
Colorado Springs,City Hall,CO,USA,2017-02-04,,200,450,700,220,630,general protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,approximation from video and pictures,http://www.koaa.com/story/34427684/hundreds-gather-in-colorado-springs-to-protest-immigration-order,http://coloradosprings.com/hundreds-rally-in-colorado-springs-in-support-of-muslims-day-after-judge-halts-trump-travel-ban/article/1596033,,,,,
Denver,Civic Park,CO,USA,2017-02-04,,2000,6000,10000,2200,9000,general protestors,"end the ""Muslim ban""",1,rally,0,0,0,0,1,1,http://kdvr.com/2017/02/04/large-crowd-gathers-in-downtown-to-support-muslim-neighbors-in-denver/,https://www.facebook.com/events/786629944818226/790807697733784/?notif_t=admin_plan_mall_activity&notif_id=1486220649263250,,,,,,
Denver ,Senator Cory Gardner's Office at 1125 17th Street,CO,USA,2017-02-04,,100,150,200,110,180,"Denver parents, teachers and other community members`",Protest Betsy DeVos ,1,demonstraton,0,0,0,0,0,1,http://denver.cbslocal.com/2017/02/04/betsy-devos-cory-gardner-colorado-denver/,http://www.denverpost.com/2017/02/04/more-than-a-hundred-rally-to-urge-cory-gardner-to-reject-devos-confirmation/,,,,,,
Fort Collins,Rolland Moore Park,CO,USA,2017-02-04,,800,800,800,880,720,Poudre Education Association and general protestors,Protest Betsy DeVos ,1,demonstration ,0,0,0,0,1,1,http://www.coloradoan.com/story/news/2017/02/04/100s-gather-fort-collins-saturday-protest-devos-trump/97487476/,,,,,,,
Montrose,,CO,USA,2017-02-04,,20,20,20,22,18,general protestors,immigration ban,1,protest  ,0,0,0,0,1,1,FB group; headcount approximated from photos,,,,,,,
New Haven ,Route 34 Connector (highway),CT,USA,2017-02-04,,100,150,200,110,180,general protestors,unity,1,protest & blockade,3,0,0,0,1,1,http://www.nbcconnecticut.com/news/local/Marchers-Protesting-President-Trumps-Immigration-Policies-Block-Streets-in-New-Haven-412789233.html,http://www.courant.com/breaking-news/hc-refugee-groups-after-suspended-executive-order-20170204-story.html,,,,,,
"Washington, DC",White House to Capitol,DC,USA,2017-02-04,,2000,2000,2000,2200,1800,general protestors,immigration ban,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/2/4/washington-dc-protest-against-muslim-ban,,,,,,,
Miami ,Bayfront Park,FL,USA,2017-02-04,,200,200,200,220,180,General Protest,immigration ban,1,demonstration,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/downtown-miami/article130779729.html,,,,,,,
Palm Beach ,From Trump plaza to Mar-a-logo resort,FL,USA,2017-02-04,,1000,1000,1000,1100,900,General Protest,Trump's orders,1,march,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/broward/article130834569.html,,,,,,,
Tallahassee ,Florida State University to Capitol,FL,USA,2017-02-04,,1000,1500,2000,1100,1800,Student for Justice in Palestine,Trump's order,1,march,0,0,0,0,1,1,http://www.wctv.tv/content/news/Thousands-of-FSU-students-protest-President-Trumps-executive-order-412800553.html,http://www.tallahassee.com/story/news/2017/02/04/nearly-1000-people-protest-refugee-ban-old-capitol/97502946/,,,,,,
West Palm Beach,Trump Tower,FL,USA,2017-02-04,,2000,2000,2000,2200,1800,General protest,anti-Trump,1,march,0,0,0,0,1,1,http://www.usatoday.com/story/news/nation/2017/02/04/protests-erupt-globally-over-trump-actions-third-saturday-row/97495210/,,,,,,,
Atlanta ,Georgia Institute of Technology ,GA,USA,2017-02-04,,200,200,200,220,180,University body,Immigration ban,1,rally,0,0,0,0,1,1,http://news.wabe.org/post/georgia-tech-community-protests-trumps-travel-ban,,,,,,,
Kilauea (Kauai),Kuleana lands,HI,USA,2017-02-04,,100,100,100,110,90,general protestors,urge Zuckerberg to host a meeting (land dispute),0,rally,0,0,0,0,1,1,http://www.hawaiinewsnow.com/story/34428054/kauai-protesters-pledge-weekly-saturday-rally-over-kuleana-lands,,,,,,,
Idaho Falls,Broadway Bridge,ID,USA,2017-02-04,,40,110,180,44,162,Eastern-Idaho Water Protectors and general protestors,protest Dakota Access Pipeline,1,demonstration,0,0,0,0,1,1,http://www.eastidahonews.com/2017/02/demonstrators-gather-broadway-bridge-protest/?t=32018,http://www.localnews8.com/news/locals-rally-for-standing-rock-and-muslim-immigrants/309945932,,,,,,
Moscow,East City Park,ID,USA,2017-02-04,,500,650,800,550,720,general protest,immigration ban,1,protest,0,0,0,0,1,1,http://dnews.com/local/hundreds-turn-out-to-moscow-s-east-city-park-to/article_fa972c4e-eea9-5ea1-88b3-6b2b333482d1.html,,,,,,,
Annapolis,residence of Maryland Gov. Larry Hogan,MD,USA,2017-02-04,,400,400,400,440,360,General Protest,Trump's cabinet picks and immigration ban ,1,demonstration,0,0,0,0,1,1,https://www.washingtonpost.com/local/md-politics/protesters-gather-outside-gov-hogans-residence-demanding-he-take-on-trump/2017/02/04/64ef2328-eafb-11e6-b82f-687d6e6a3e7c_story.html?utm_term=.93abc130115c,,,,,,,
