CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Bethlehem,Payrow Plaza,PA,US,2018-01-20,about 500,500,,500,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.mcall.com/news/breaking/mc-nws-nation-women-march-20180120-story.html,,,,,,,
Bettendorf,USW Local 105,IA,US,2018-01-20,,,,,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.thegazette.com/subject/news/community/women-to-march-saturday-in-iowa-city-building-on-success-of-2017-20180118,https://actionnetwork.org/events/equality-march,,,,,,
Billings,Downtown Billings; North Park,MT,US,2018-01-20,hundreds,200,,200,,,Montana Women's March Billings; Rise Together,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/342703226198732/,http://www.kulr8.com/story/37311901/rise-together-womens-march-marks-its-second-year-in-the-magic-city,http://www.ktvq.com/story/37310554/billings-residents-take-to-streets-for-montana-womens-march,https://missoulacurrent.com/government/2018/01/billings-womens-march/,,,,
Binghampton,Dr. Martin Luther King Jr. Memorial Park,NY,US,2018-01-20,FB: 521,521,,521,,,Citizen Action of The Southern Tier,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/2006699712911706/,,,,,,,
Birmingham,,AL,US,2018-01-20,FB: 2.7K,2700,,2700,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.al.com/news/mobile/index.ssf/2018/01/south_alabama_womens_march_din.html,https://www.facebook.com/events/358897237822131/,,,,,,
Bishop,Bishop City Park,CA,US,2018-01-20,FB: 173,173,,173,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/eastern-sierra-womans-march-2018,https://www.facebook.com/events/154547935321390/,,,,,,
Black Mountain,Town Square,NC,US,2018-01-20,FB: 117,117,,117,,,general protestors,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://actionnetwork.org/events/black-mountain-womens-march,https://www.facebook.com/events/174988803254497/,,,,,,
Bloomington,,IL,US,2018-01-20,dozens,24,,24,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.star-telegram.com/news/politics-government/national-politics/article195768829.html,http://wglt.org/post/bloomington-normal-women-march-progressive-agenda#stream/0,,,,,,
Bloomington,Monroe County Courthouse,IN,US,2018-01-20,a few hundred,200,,200,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.idsnews.com/article/2018/01/womens-march-2018-makes-its-way-to-bloomington,,,,,,,
Bloomsburg,town fountain at Main and Market,PA,US,2018-01-20,estimated 150,150,,150,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/womens-march-bloomsburg,http://wnep.com/2018/01/20/womens-march-in-bloomsburg-one-year-later/,https://www.newsitem.com/articles/power-of-voting-emphasized-at-womens-rally-in-bloomsburg/,http://www.dailyitem.com/news/local_news/bloom-rally-calls-for-power-to-the-polls/article_b4c6672a-a641-542e-8fca-ac76fa333cf6.html,,,,
