CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1)/Neither(0),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Fort Lauderdale,Holiday Park,FL,USA,2017-03-08,,,,,,,Broward chapter of Women’s March Florida,A Day Without a Woman,1,candlelight vigil,0,0,0,0,1,1,http://www.nbcmiami.com/news/local/South-Florida-Groups-Plan-Protests-For-A-Day-Without-A-Woman-415629883.html,,,,,,,
Jacksonville,Hemming Park; downtown,FL,USA,2017-03-08,several hundred,200,200,200,220,180,Jacksonville Progressive Coalition,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.firstcoastnews.com/news/local/downtown-jacksonville/international-womens-day-rally-comes-to-hemming-park/420988321,,,,,,,
Miami,outside US Citizenship and Immigration Services Field Office,FL,USA,2017-03-08,dozens,24,24,24,26.4,21.6,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.nbcmiami.com/news/local/South-Florida-Groups-Plan-Protests-For-A-Day-Without-A-Woman-415629883.html,,,,,,,
Miami,downtown,FL,USA,2017-03-08,several hundred,200,200,200,220,180,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://wsvn.com/news/local/international-womens-day-rally-to-be-held-in-downtown-miami/,,,,,,,
Naples,"Collier County Courthouse, 3315 Tamiami Trl E",FL,USA,2017-03-08,,,,,,,general protestors,International Women's Day,1,rally,0,0,0,0,1,1,http://www.naplesnews.com/picture-gallery/news/local/2017/03/08/photos-people-gather-for-international-womens-day-rally-in-naples/98919598/,,,,,,,
St. Petersburg,Williams Park,FL,USA,2017-03-08,150+,150,150,150,165,135,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.abcactionnews.com/news/region-south-pinellas/st-petersburg/international-womens-day-150-women-rally-in-st-petersburg,,,,,,,
West Palm Beach,City Hall ,FL,USA,2017-03-08,,,,,,,Women's March Florida West Palm Beach chapter,A Day Without a Woman,1,candlelight vigil,0,0,0,0,1,1,http://www.wptv.com/news/region-s-palm-beach-county/boynton-beach/women-across-south-florida-rally-for-day-without-a-woman-strike,,,,,,,
Atlanta,,GA,USA,2017-03-08,about 200,200,200,200,220,180,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://kfgo.com/news/articles/2017/mar/09/women-worldwide-rally-for-equality-and-against-trump-in-us/,,,,,,,
Honolulu,Magic Island to Trump International Hotel Waikiki at 223 Saratoga Rd,HI,USA,2017-03-08,scores; close to 600,80,314,600,88,540,Women's March - Hawai'I; AiKea Movement; UNITE HERE Local 5; Hawaii State Teachers Association,International Women's Day,1,rally; march,0,0,0,0,1,1,http://www.kitv.com/clip/13161234/a-day-without-a-woman-march-held-in-honolulu,https://www.facebook.com/events/1229380380442503/?active_tab=about,,see also video at link,,,,
Chicago,outside CTA hdqtrs,IL,USA,2017-03-08,a group,,,,,,CTA employees ,A Day Without a Woman; better working conditions,1,rally,0,0,0,0,1,1,http://abc7chicago.com/news/chicago-women-take-part-in-a-day-without-a-woman/1790317/,,,,,,,
Chicago,Chicago Teachers Union hall,IL,USA,2017-03-08,over 1000,1000,1000,1000,1100,900,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2017/3/9/over-1000-join-chicago-international-women-s-day-rally,http://chicago.cbslocal.com/2017/03/08/chicago-businesses-mark-a-day-without-a-woman-with-strikes-rallies/,,,,,,
Mt. Prospect,Main St and Northwest Highway,IL,USA,2017-03-08,at least 65,65,65,65,71.5,58.5,general protestors,International Women's Day,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1588926087788987/?active_tab=discussion,,,,,,,
Springfield,capitol rotunda,IL,USA,2017-03-08,,100,100,100,110,90,general protestors,International Women's Day,1,rally,0,0,0,0,1,1,http://foxillinois.com/news/local/rally-at-the-capitol-celebrates-international-womens-day,,,count from picture at link,,,,
Lafayette,Riehle Plaza,IN,USA,2017-03-08,about 40,40,40,40,44,36,general protestors,A Day Without a Woman,1,protest,0,0,0,0,1,1,http://wbaa.org/post/lafayette-women-opt-out-visible-and-invisible-work-during-womens-strike#stream/0,,,,,,,
Terre Haute,ISU; 451 N. 8th St,IN,USA,2017-03-08,,,,,,,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/410710642599484/?active_tab=discussion,,,,,,,
Lawrence,Watson Park,KS,USA,2017-03-08,more than 200,200,200,200,220,180,general protestors,International Women's Day,1,rally,0,0,0,0,1,1,http://m.ljworld.com/news/2017/mar/08/international-womens-day-draws-crowd-watson-park/?templates=mobile,,,,,,,
Amherst,UMass,MA,USA,2017-03-08,about 100,100,100,100,110,90,general protestors,A Day Without a Woman; anti-Trump,1,rally,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/03/about_100_attend_rally_for_wom.html,,,,,,,
Boston,Downtown Crossing,MA,USA,2017-03-08,,,,,,,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.wcvb.com/article/rally-in-boston-for-a-day-without-a-woman/9108960,,,,,,,
Greenfield,Town Common,MA,USA,2017-03-08,hundreds,200,200,200,220,180,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://wwlp.com/2017/03/08/rally-for-women-held-in-downtown-greenfield/,,,,,,,
Holyoke,Holyoke Community College,MA,USA,2017-03-08,about 100,100,100,100,110,90,general protestors,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/03/about_100_attend_rally_for_wom.html,,,,,,,
Hyannis,West End Rotary,MA,USA,2017-03-08,dozens,24,24,24,26.4,21.6,general protestors,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,,,,,,,
Hyannis,Main Street,MA,USA,2017-03-08,about 40,40,40,40,44,36,Cape and Islands Stronger Together,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,,,,,
Mashpee,rotary,MA,USA,2017-03-08,more than 60,60,60,60,66,54,Cape and Islands Stronger Together,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,,,,,
Orleans,rotary,MA,USA,2017-03-08,more than 70,70,70,70,77,63,Cape and Islands Stronger Together,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,count from video at capecod.com,,,,
Alexandria,schools,MD,USA,2017-03-08,about 300,300,300,300,330,270,school teachers,a day without a Woman,1,protest,0,0,0,0,1,1,http://baltimore.cbslocal.com/2017/03/08/a-day-without-a-woman-demonstrations-in-baltimore/,,,,,,,
Portland,outside Rep. Chellie Pingree's office,ME,USA,2017-03-08,na,30,30,30,33,27,general protestors,pro-Planned Parenthood,1,rally,0,0,0,0,1,1,http://wgme.com/news/local/planned-parenthood-supporters-rally-in-portland,,,count from video at link,,,,
Grand Marais,Harbor Park,MN,USA,2017-03-08,more than 30,30,30,30,33,27,general protesters,International Women's Day,1,rally; march,0,0,0,0,1,1,http://www.wtip.org/international-womens-day-march-held-grand-marais,,,cold & windy,,,,
Kansas City,UMKC,MO,USA,2017-03-08,almost 100,100,100,100,110,90,students ,protest reported rape,0,rally; march,0,0,0,0,1,1,http://www.kshb.com/news/local-news/umkc-students-rally-against-response-to-reported-rape,,,,,,,
Whitefish,city beach,MT,USA,2017-03-08,,,,,,,general protestors,A Day Without a Woman,1,demonstration,,,,,1,1,http://www.kpax.com/story/34701351/international-womens-day-demonstrations-reach-whitefish,,,,,,,
Durham,CCB Plaza,NC,USA,2017-03-08,nearly 100,100,100,100,110,90,general protesters,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://abc11.com/news/day-without-a-woman-triangle-take-part-in-protest/1790237/,,,,,,,
Hanover,green,NH,USA,2017-03-08,about 60,60,60,60,66,54,general protesters,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.thedartmouth.com/article/2017/03/community-gathers-on-green-for-international-womens-day,,,,,,,
Glen Rock,NA,NJ,USA,2017-03-08,Some 200,200,200,200,220,180,Glen Rock after the march,A day without a Woman,1,protest,0,0,0,0,1,1,http://www.northjersey.com/story/news/bergen/2017/03/08/women-rally-glen-rock-day-without-woman/98873004/,,,,,,,
Buffalo,City Hall to Tupper Street,NY,USA,2017-03-08,,,,,,,general protesters; Worker's World Party,A Day Without a Woman,1,march,0,0,0,0,1,1,http://news.wbfo.org/post/buffalo-joins-international-womens-day-demonstrations,,,,,,,
New York,Washington Square Park to Zuccotti Park,NY,USA,2017-03-08,hundreds,200,200,200,220,180,general protesters,A Day Without a Women,1,march,0,0,0,0,1,1,http://www.nbcnewyork.com/news/local/NYC-Women-Plan-to-Strike-March-Protest-Rally-Day-Without-a-Woman-415650043.html,,,,,,,
New York,Central Park at Fifth Avenue and 58th Street; march to the Trump International Hotel at Columbus Circle ,NY,USA,2017-03-08,several thousand,3000,3000,3000,3300,2700,general protestors,A Day Without a Woman,1,Demonstration; march; sit-in,13,0,0,0,1,1,http://abc7ny.com/society/a-day-without-a-woman-demonstration-held-in-central-park/1790245/,,,,,,,
Olean,Lincoln Park,NY,USA,2017-03-08,approximately 15,15,15,15,16.5,13.5,general protesters,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.oleantimesherald.com/news/demonstrators-gather-outside-olean-s-lincoln-park-for-a-day/article_c104255c-04e9-11e7-85b0-8bc288cf1395.html,,,,,,,
Cincinnati,Piatt Park,OH,USA,2017-03-08,,,,,,,United We Stand Cincinnati; Service Employees International Union Local 1 chapter; YWCA; Cincinnati Socialist Alternative; general protesters ,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/03/08/womens-day-rally-peaceful-passionate/98901198/,,,,,,,
Cleveland,at the Free Stamp to Public Sq,OH,USA,2017-03-08,over 200,200,200,200,220,180,general protesters,A Day Without a Women,1,rally; march,0,0,0,0,1,1,http://www.cleveland.com/metro/index.ssf/2017/03/international_womens_day_march.html,,,,,,,
Columbus,Goodale Park 120 W. Goodale St. 43215,OH,USA,2017-03-08,hundreds,200,200,200,220,180,Women's March Ohio,A Day Without a Women,1,rally,0,0,0,0,1,1,http://thelantern.com/2017/03/columbus-and-ohio-state-communities-rally-for-international-womens-day/,,,,,,,
Columbus,Ohio St Uni,OH,USA,2017-03-08,over 100,100,100,100,110,90,general protesters,A Day Without a Women,1,rally,0,0,0,0,1,1,http://thelantern.com/2017/03/a-day-without-a-woman-marked-with-campus-rally-teach-in/,,,,,,,
Philadelphia,H.A. Brown Elementary School in Kensington,PA,USA,2017-03-08,about 2 dozen,24,24,24,26.4,21.6,general protesters; Philly teachers,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/03/08/organizers-of-womens-march-say-today-is-a-day-without-a-woman/,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,,,
Philadelphia,McDevitt Park on 3531 Scotts Lane,PA,USA,2017-03-08,,,,,,,Female students in 7th through 9th grade at Eastern University Academy Charter School,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,,,,
Philadelphia,Logan Sq to Thomas Paine Plaza,PA,USA,2017-03-08,more than 200,200,200,200,220,180,general protesters,A Day Without a Woman,1,march,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/03/08/organizers-of-womens-march-say-today-is-a-day-without-a-woman/,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,,,
Pittsburgh,outside of the City-County Building,PA,USA,2017-03-08,hundreds,200,200,200,220,180,general protesters,A Day Without a Woman,1,rally; march,0,0,0,0,1,1,http://triblive.com/local/allegheny/12038832-74/women-organizers-trump,,,,,,,
York,Continental Square,PA,USA,2017-03-08,close to 25,25,25,25,27.5,22.5,general protesters,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.yorkdispatch.com/story/news/2017/03/08/yorkers-rally-womens-rights-international-womens-day/98912080/,,,,,,,
San Juan,na,PR,USA,2017-03-08,more than 100,100,100,100,110,90,general protesters,International Women’s Day,1,march,0,0,0,0,1,1,http://www.usatoday.com/story/news/2017/03/08/day-without-women-aims-show-female-impact-economy-society/98892938/,,,,,,,
Pierre,outside of the Hughes County Courthouse,SD,USA,2017-03-08,,,,,,,general protesters,against Keystone XL pipeline,1,protest,0,0,0,0,1,1,http://kelo.com/news/articles/2017/mar/09/pierre-pipeline-protest/,,,,,,,
Olympia,Sylvester Park to the steps of the state Capitol,WA,USA,2017-03-08,estimated 225,225,225,225,247.5,202.5,general protesters,A Day Without a Woman,1,march; rally,0,0,0,0,1,1,http://www.theolympian.com/news/local/article137335663.html,,,,,,,
Richland,John Dam Plaza,WA,USA,2017-03-08,approx 200,200,200,200,220,180,Honeypot Huddle,International Women’s Day,1,rally,0,0,0,0,1,1,http://www.tri-cityherald.com/news/local/article137342853.html,,,,,,,
Seattle,Westlake Park,WA,USA,2017-03-08,several hundred,200,200,200,220,180,general protesters,A Day Without a Woman,1,rally,0,0,0,0,1,1,http://komonews.com/news/local/international-womens-day-rally-in-seattle,http://www.seattlepi.com/local/article/Hundreds-rally-for-women-s-rights-at-Westlake-Park-10988484.php,,,,,,
Madison,steps of the state Capitol,WI,USA,2017-03-08,about 700; about 1500,700,1060,1500,770,1350,general protesters,A Day Without a Woman,1,demonstration,0,0,0,0,1,1,http://www.channel3000.com/news/hundreds-gather-at-capitol-for-day-without-women-event/384341966,http://www.wrn.com/2017/03/hundreds-march-on-wisconsin-capitol-for-womens-day-demonstration/,,,,,,
Bloomington,Illinois Wesleyan University ,IL,USA,2017-03-09,About 150,150,150,150,165,135,General protestors,Pro-love,1,rally,0,0,0,0,1,1,http://www.pantagraph.com/news/local/message-of-rally-love-will-hold-us-together/article_e001a57d-8d2f-5173-b836-09012f35e977.html,,,,,,,
Fort Wayne,outside Citizens Square along Clinton Street,IN,USA,2017-03-09,more than a dozen,12,12,12,13.2,10.8,general protestors,protest the city's plans to demolish the former Bowser Pump company's office and buildings on East Creighton Ave,0,protest,0,0,0,0,1,1,http://news-sentinel.com/news/local/Residents-protest-planned-demolition-of-the-historic-Bowser-Pump-office-building-on-Creighton-Ave-,,,,,,,
Springfield,JCC,MA,USA,2017-03-09,more than 100,100,100,100,110,90,general protesters,against bomb threat; anti-Hate,1,rally,0,0,0,0,1,1,http://wwlp.com/2017/03/09/residents-of-all-faiths-gathered-at-springfield-jcc-for-interfaith-rally/,,,,,,,
Great Falls,Great Falls College Montana State University,MT,USA,2017-03-09,about 110,110,110,110,121,99,candidate for the US House Rob Quist,for Democratic candidate for the US House Rob Quist,1,rally,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/local/2017/03/09/quist-riffs-rural-roots-great-falls-rally/98982978/,,,,,,,
Irondequoit,outside Summerville Presbyterian Church,NY,USA,2017-03-09,around 100,100,100,100,110,90,general protesters,opposed ICE detention of José Coyote Pérez; pro-immigration,1,protest,0,0,0,0,1,1,https://www.wsws.org/en/articles/2017/03/14/roch-m14.html,,,,,,,
College Station,Texas A&M; in front of Rudder Plaza ,TX,USA,2017-03-09,about 50,50,50,50,55,45,general protesters,"pro-Transgender rights; against Senate Bill 6, the “bathroom bill""",1,,0,0,0,0,1,1,http://www.theeagle.com/news/local/texas-a-m-students-faculty-gathered-and-shared-testimony-in/article_236d1a7c-2993-5cf3-865a-06f4994d5fbe.html,,,,,,,
Kenosha,Detention center,WI,USA,2017-03-09, about 300,300,300,300,330,270,Kenosha United to Serve Humanity,Pro-immigrants; anti-Trump,1,Protest/rally,0,0,0,0,1,1,http://www.kenoshanews.com/news/immigrant_advocates_rally_on_day_of_action_492218463.php,,,,,,,
Los Angeles,Downtown,CA,USA,2017-03-10,about 100,100,100,100,110,90,general protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,https://www.usnews.com/news/best-states/california/articles/2017-03-10/100-protesters-march-in-los-angeles-over-dakota-pipeline,,,,,,,
San Francisco,City Hall to Chinese Consulate in Japantown,CA,USA,2017-03-10,,,,,,,general protesters,58th Annual Tibetan Uprising Day,0,demonstration; march,0,0,0,0,1,1,http://hoodline.com/2017/03/immigration-ban-free-tibet-protests-take-to-city-hall-native-american-rights-march-to-follow,,,,,,,
San Francisco,Outside City Hall; Market Street to the Federal Building at 7th and Mission,CA,USA,2017-03-10,,,,,,,general protesters,anti-Muslim Ban,1,demonstration; march,0,0,0,0,1,1,http://hoodline.com/2017/03/immigration-ban-free-tibet-protests-take-to-city-hall-native-american-rights-march-to-follow,,,,,,,
Cañon City,corner of Ninth Street and Royal Gorge Boulevard,CO,USA,2017-03-10,handful,3,3,3,3.3,2.7,Fremont County Democratic Party,anti-Dakota access Pipeline,1,demonstration,0,0,0,0,1,1,http://www.canoncitydailyrecord.com/news/canoncity-local-news/ci_30848831/fremont-county-protesters-gather-standing-rock-demonstrations,,,,,,,
Denver,Sunken Gardens Parl,CO,USA,2017-03-10,couple hundred,200,200,200,220,180,general protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,https://www.denverite.com/look-native-protesters-march-speer-capitol-31463/,,,,,,,
Steamboat Springs,outside post office,CO,US,2017-03-10,,,,,,,Steamboat Stands with Standing Rock,anti-Dakota access Pipeline,1,protest,0,0,0,0,1,1,https://www.facebook.com/steamboat4standingrock/,,,,,,,
Washington,na,DC,USA,2017-03-10,hundreds; thousands,200,1010,2000,220,1800,Standing Rock Sioux tribe; general protesters,anti-DAPL,1,march; protest,,,,,1,1,https://time.com/4698608/dakota-access-pipeline-white-house-protest/,http://www.aljazeera.com/news/2017/03/standing-rock-tribe-takes-dapl-protest-washington-170310032032028.html,,,,,,
Jacksonville,UNF campus,FL,USA,2017-03-10,around two dozen,24,24,24,26.4,21.6,Created Equal,pro-life,2,protest,0,0,0,0,1,1,http://unfspinnaker.com/viewpoints-clash-during-abortion-protest-unfpd-called/,,,,,,,
Jacksonville,UNF campus,FL,USA,2017-03-10,,,,,,,general protestors,pro-choice,1,protest,0,0,0,0,1,1,http://unfspinnaker.com/viewpoints-clash-during-abortion-protest-unfpd-called/,,,,,,,
Indianapolis,Statehouse,IN,USA,2017-03-10,,,,,,,general protestors,against DAPL,1,protest,,,,,1,1,http://wishtv.com/2017/03/10/protesters-to-rally-at-statehouse-to-honor-standing-rock-solidarity/,,,,,,,
West Lafayette,Hovde Hall; Purdue Univ,IN,USA,2017-03-10,dozens,12,12,12,13.2,10.8,general protestors,Oppose Dakota pipeline,1,rally,0,0,0,0,1,1,http://www.jconline.com/story/news/2017/03/10/locals-march-native-american-rights/98974180/,,,,,,,
Boston,Boston Common,MA,USA,2017-03-10,Approximately 350,350,350,350,385,315,general protestors,against hate crime; remembering Srinivas Kuchibhotla,1,vigil,0,0,0,0,1,1,http://indianewengland.com/2017/03/350-indian-americans-attend-vigil-memory-srinivas-kuchibhotla-indian-engineer-killed-hate-crime/,,,,,,,
Augusta,at the Maine State House,ME,USA,2017-03-10,,,,,,,general protestors,against DAPL,1,protest,0,0,0,0,1,1,http://mainepublic.org/post/pipeline-opponents-protest-maine-state-house#stream/0,,,,,,,
Missoula,County Courthouse,MT,USA,2017-03-10,around 20,20,20,20,22,18,general protestors,Oppose Dakota pipeline,1,march,0,0,0,0,1,1,http://missoulian.com/news/local/missoulians-protest-construction-of-dakota-access-pipeline/article_7944638e-01f1-5ca9-885d-96a6df511aaf.html,,,,,,,
Lakawanna,St Anthony's Church,NY,USA,2017-03-10,more than 100,100,100,100,110,90,NY Immigration Coalition;ACCESS,oppose Trump's travel ban,1,rally,0,0,0,0,1,1,http://buffalonews.com/2017/03/10/interfaith-rally-protests-trump-immigration-policy-yemen-travel-ban/,,,,,,,
Little Neck,Samuel Field YMCA,NY,USA,2017-03-10,,,,,,,general protesters,against anti-Semitic threats and bias crimes,1,rally,0,0,0,0,1,1,http://qns.com/story/2017/03/14/little-neck-rally-community-leaders-urge-queens-residents-stand-hate/,,,,,,,
Tulsa,City Hall,OK,USA,2017-03-10,More than 225,225,225,225,247.5,202.5,Oklahomans for Equality,LGBTQ protections,1,rally,0,0,0,0,1,1,http://www.tulsaworld.com/news/government/protesters-rally-to-call-for-hate-crime-protection-for-lgbtq/article_1a9f3dff-13b5-51bd-a5c0-124eb699258b.html,,,,,,,
Sioux Falls,na,SD,USA,2017-03-10,,,,,,,SD Democratic Party,Oppose Obamacare replacement,1,rally,0,0,0,0,1,1,http://kelo.com/news/articles/2017/mar/10/obamacare-replacement-blasted-at-sioux-falls-rally/,,,,,,,
Memphis,City Hall,TN,USA,2017-03-10,about 100,100,100,100,110,90,General Protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/local/2017/03/10/pipeline-protesters-proceed-minus-permit/99016928/,,,,,,,
Wichita Falls,na,TX,USA,2017-03-10,about a dozen,12,12,12,13.2,10.8,general protester,against GOP health care bill,1,protest,0,0,0,0,1,1,http://www.newschannel6now.com/story/34726495/several-wichita-falls-residents-protest-aca-replacement,,,,,,,
Salt Lake City,outside State Capitol,UT,USA,2017-03-10,dozens,24,24,24,26.4,21.6,Utah Tibetan Association,58th Annual Tibetan Uprising Day,0,demonstration,0,0,0,0,1,1,http://www.deseretnews.com/article/865675340/Tibetan-independence-protesters-thank-nations-for-support.html,,,,,,,
Waterbury,in front of the TD Bank parking lot,VT,USA,2017-03-10,between a dozen and 20 people,12,15.6,20,13.2,18,general protester,against DAPL; pro-water rights,1,protest,0,0,0,0,1,1,http://www.stowetoday.com/waterbury_record/news/local_news/low-temps-fail-to-deter-water-protest/article_b394e938-0985-11e7-a16e-2bd69ae5af9b.html,,,,,,,
Port Townsend,through uptown and downtown Port Townsend,WA,USA,2017-03-10,Just over 30,30,30,30,33,27,Jefferson County Stand with Standing Rock group,against DAPL,1,march,0,0,0,0,1,1,http://www.peninsuladailynews.com/news/port-townsend-group-objects-to-dakota-access-pipeline/,,,,,,,
Fresno,city hall,CA,USA,2017-03-11,about 100,100,100,100,110,90,kiera kaiser,equality,1,rally,0,0,0,0,1,1,http://www.fresnobee.com/news/local/education/article137995998.html,,,,,,,
San Diego,Oceanside,CA,USA,2017-03-11,100 plus,100,100,100,110,90,general protestors,healthcare; against representative,1,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-ca-pol-issa-hunter-townhalls-20170311-story.html,,,,,,,
San Francisco,Pacific Hts; outside Peter Thiel home,CA,USA,2017-03-11,around 40,40,40,40,44,36,general protesters,concerns about Palantir (company),0,protest,0,0,0,0,1,1,http://abc7news.com/politics/protesters-target-paypal-co-founder-peter-thiel-over-immigration/1797479/,http://www.sfgate.com/bayarea/article/Pro-immigrant-demonstrators-rally-outside-Peter-10995442.php,,,,,,
Cortez,Cortez Cultural Center,CO,USA,2017-03-11,about 170,170,170,170,187,153,montezuma alliance coalition,pro-women,1,march,0,0,0,0,1,1,https://the-journal.com/articles/32940-saturday-march-in-cortez-highlights-women-x2019-s-history,,,,,,,
Grand Junction,downtown,CO,USA,2017-03-11,,,,,,,general protesters,anti-Dakota access Pipeline,1,rally,0,0,0,0,1,1,http://www.westernslopenow.com/news/local-news/standing-rock-support-rally/670756138,,,,,,,
Algonquin,near Longmeadow Parkway and Barrett Drive in Algonquin,IL,USA,2017-03-11,nearly 100,100,100,100,110,90,general protestors,opposed to Longmeadow Parkway construction project,0,protest,0,0,0,0,1,1,http://patch.com/illinois/algonquin/longmeadow-parkway-protesters-gather-saturday,,,,,,,
Fort Wayne,Allen County Courthouse lawn,IN,USA,2017-03-11,about two dozen,24,24,24,26.4,21.6,Indivisible Indiana,anti-Trump; postcards to Trump,1,protest,0,0,0,0,1,1,http://wane.com/2017/03/11/trump-protesters-gather-downtown-to-appeal-to-state-leaders/,,,,,,,
Jeffersontown,Plantside Drive,KY,USA,2017-03-11,some 600,600,600,600,660,540,Indivisible Kentucky; Kentucky Alliance Against Racism and Oppression; Kentuckians for the Commonwealth; Black Lives Matter; Stand Up Sunday; Jobs for Justice; other members of the Louisville Movement Coalition,protest visit by VP Pence,1,protest,0,0,0,0,1,1,http://www.leoweekly.com/2017/03/39125/,,,,,,,
Jeffersontown,Plantside Drive,KY,USA,2017-03-11,,,,,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,http://www.leoweekly.com/2017/03/39125/,,,,,,,
Boston,Boston Common outside the Park Street “T” Station,MA,USA,2017-03-11,small crowd,6,6,6,6.6,5.4,general protestors,demand an end to US imperial aggression against Syria and Yemen,1,protest,0,0,0,0,1,1,https://www.liberationnews.org/boston-activists-hold-vigil-and-speakout-against-us-imperialism-in-syria-and-yemen-2/,,,count from pic at link,,,,
West Ocean City,Rt 50,MD,USA,2017-03-11,roughly 50,50,50,50,55,45,Main Street Patriots of Worcester County,pro-Trump,2,rally,0,0,0,0,1,1,http://www.delmarvanow.com/story/news/local/maryland/2017/03/11/oc-trump-rally-2017/99050502/,,,,,,,
West Ocean City,Rt 50,MD,USA,2017-03-11,na,2,2,2,2.2,1.8,general protesters,anti-Trump,1,rally,0,0,0,0,1,1,http://www.delmarvanow.com/story/news/local/maryland/2017/03/11/oc-trump-rally-2017/99050502/,,,,,,,
Raleigh,state capitol,NC,USA,2017-03-11,roughly 35,35,35,35,38.5,31.5,general protestors,pro immigration,1,rally,0,0,0,0,1,1,http://www.newsobserver.com/news/politics-government/state-politics/article137983253.html,,,,,,,
Las Vegas,outside senior living community,NV,USA,2017-03-11,more than 100,100,100,100,110,90,general protestors,protect Obamacare,1,demonstration,0,0,0,0,1,1,https://lasvegassun.com/news/2017/mar/11/senator-heller-speaks-at-closed-door-event-in-hend/?utm_source=mostpopular&utm_medium=banner&utm_campaign=mostRead,,,,,,,
New York,Brooklyn Borough Hall ,NY,USA,2017-03-11,,,,,,,Get Organized BK!,anti-Trumpcare,1,protest; die-in,0,0,0,0,1,1,http://www.ny1.com/nyc/all-boroughs/news/2017/03/12/brooklyn-activists-stage-die-in-at-borough-hall-to-protest-trump-healthcare-propsal.html,,,,,,,
Oklahoma City,marched to the Oklahoma City Civic Center.,OK,USA,2017-03-11,a few hundred,200,200,200,220,180,general protesters,against construction of the Dakota Access Pipelines,1,protest; march,0,0,0,0,1,1,http://okcfox.com/news/local/oklahomans-take-to-the-streets-to-protest-dakota-access-pipelines,,,,,,,
Oklahoma City,steps of the state Capitol,OK,USA,2017-03-11,more than a dozen,12,12,12,13.2,10.8,general protesters,blind people against a set of bills eg House Bill 2230 which would allow county jails to be exempt from giving the blind priority treatment when hiring managers to run commissaries,0,protest,0,0,0,0,1,1,http://www.news9.com/story/34731846/protesters-claim-house-bills-target-the-blind,,,,,,,
Brownsville,600 East Harrison,TX,USA,2017-03-11,,,,,,,general protesters,Women's March for Justice,1,march,,,,,1,1,http://www.rgvproud.com/news/local-news/a-day-without-a-woman/668895052,,,,,,,
