CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Beverly Hills,The Beverly Hilton ,CA,US,2018-01-07,most female attendees,,,,,,Celebrities,Protest Sexual Harrasment,0,,protest,0,0,0,0,1,1,http://cnycentral.com/news/entertainment/gadot-ronan-janney-join-golden-globes-black-dress-protest,http://www.slate.com/blogs/xx_factor/2018/01/08/why_the_2018_golden_globes_black_out_protest_fell_flat.html,,,,,,
Beverly Hills,The Beverly Hilton ,CA,US,2018-01-07,Photo: 10,10,,10,,,Hollywoode Handmaids,Protesting sexual assault,1,,protest,0,0,0,0,0,1,http://www.seattlepi.com/entertainment/the-wrap/article/Handmaid-s-Tale-Protesters-at-Golden-12480330.php,,,,,,,
Boise,Statehouse,ID,US,2018-01-07,,,,,,,generl protestors,Rallying for more thoughtful legislation,0,,rally,0,0,0,0,1,1,https://www.kivitv.com/news/progressive-religious-leaders-hold-prayer-vigil-at-idaho-statehouse,,,,,,,
Newton,Sussex County Jail,NJ,US,2018-01-07,about 20,20,,20,,,Animal Protection League of New Jersey,Protesting jailing of anti-bear hunting activist Bill Crain; protesting New Jersey black bear hunt,0,,protest,0,0,0,0,1,1,http://www.njherald.com/20180108/bear-hunt-protesters-brave-weather-to-support-crain#//,,,,,,,
New York,E. 56th St.,NY,US,2018-01-07,FB: 21,21,,21,,,Rise and Resist,Protesting 'independent democratic conference',0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/202311670340417/,,,,,,,
San Diego,Schwartz Federal Building,CA,US,2018-01-07,FB: 53,53,,53,,,San Diego Climate Mobilization Coalition,Protesting inaction toward climate change,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/845320522317070/,,,,,,,
San Francisco,Civici Cenrer Plaza,CA,US,2018-01-07,FB: 275,275,,275,,,general protestors,Rallying in support of Iranian people,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/209529209615470/,,,,,,,
Westwood,Federa Building,CA,US,2018-01-07,nearly 6000,6000,,6000,,,general protestors,Rallying behind Iranian protestors,0,,rally,0,0,0,0,1,1,http://jewishjournal.com/news/los_angeles/229551/iranian-americans-rally-freedom/,,,,,,,
Abbeville,City Hall,LA,US,2018-01-08,NA,1,,1,,,Deysha Hargrave,Protesting superintendent's salary,0,,protest,1,0,0,0,1,1,https://www.cbsnews.com/news/vermilion-louisiana-teacher-handcuffed-superintendent-defends-raise/,,,,,,,
Atlanta,,GA,US,2018-01-08,,,,,,,NAACP,Protest Trump Visit to Atlanta,1,,protest,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2018/01/naacp_organizing_anti-trump_pr.html,https://www.denverpost.com/2018/01/08/trump-protests-at-college-football-championship-game/,,,,,,
Atlanta,CNN World Headquarters,GA,US,2018-01-08,about 30,30,,30,,,Refuse Fascism ,Kneeling Protest Trump Visit to Atlanta,1,,protest,0,0,0,0,0,1,http://www.al.com/news/index.ssf/2018/01/naacp_organizing_anti-trump_pr.html,https://www.denverpost.com/2018/01/08/trump-protests-at-college-football-championship-game/,,,,,,
Atlanta,Mercedes-Benz Stadium,GA,US,2018-01-08,a few dozen,24,,24,,,general protestors,anti-Trump,1,,protest,0,0,0,0,0,1,http://www.mysanantonio.com/news/local/article/Trump-attending-college-football-s-championship-12483970.php,,,,,,,
Arlington,The Pentagon,VA,US,2018-01-08,FB: 40,40,,40,,,general protestors,Protesting seually assault (specifically in the military),1,,protest,0,0,0,0,1,1,http://thehill.com/policy/defense/367941-pentagon-officials-endorse-demonstration-against-military-sexual-assault,,,,,,,
Ann Arbor,City Hall,MI,US,2018-01-08,photo,9,,13,,,general protestors,Protesting to protect deer,0,,protest,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2018/01/ann_arbor_protesters_spell_sav.html,,,,,,,
Brooklyn,NYC Housing Bronxdale Plaza,NY,US,2018-01-08,FB: 5,5,,5,,,New York City Council candidate Michael Beltzer,Protesting New York Housing water crisis,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/2448002762091854/,,,,,,,
Buffalo,Shoreline Apartments,NY,US,2018-01-08,,,,,,,general protestors,Protesting gentrification,0,,protest,0,0,0,0,1,1,http://news.wbfo.org/post/protesters-rally-holdout-tenant-shoreline-apartments,,,,,,,
Chicago,,IL,US,2018-01-08,Photo: dozens,24,,24,,,general protestors,Protesting appearance by Ben Carson,1,,protest,0,0,0,0,1,1,http://www.newsweek.com/housing-protester-ben-carson-chicago-775366,,,,,,,
Encinitas,,CA,US,2018-01-08,1,1,,1,,,general protestor,Protesting two members of Encinitas Traffic and Parking Comission sitting for the Pledge of Allegience,0,,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/communities/north-county/sd-no-pledge-update-20180109-story.html,,,,,,,
Glens Falls,Crandall Public Library,NY,US,2018-01-08,,,,,,,general protestors,Protesting Govenor Cuomo proposal to pool tips,1,,protest,0,0,0,0,1,1,http://www.saratogian.com/business/20180108/restaurant-workers-protest-cuomo-plan-to-replace-tips-with-higher-minimum-wage,,,,,,,
Nashville,Opryland Resort & Convention Center,TN,US,2018-01-08,about 75,75,,75,,,Clarksville Indivisible,Protesting appearance from President Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/403377680100036/,https://www.tennessean.com/story/news/2018/01/08/smattering-trump-supporters-gather-greet-president-opryland/1009246001/,,,,,,
Nashville,Opryland Resort & Convention Center,TN,US,2018-01-08,about 25,25,,25,,,general protestors,Counter-protestp; support Trump,2,,protest,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/01/08/smattering-trump-supporters-gather-greet-president-opryland/1009246001/,,,,,,,
New York,,NY,US,2018-01-08,hundreds,200,,200,,,Black Lives Matter,Protesting police brutality,0,,protest,1,0,0,0,1,1,http://www.newsweek.com/i-cant-breathe-nypd-officers-arrest-protester-erica-garner-rally-right-after-775027,,,,,,,
Oak Park,N. Ave.,IL,US,2018-01-08,FB: 14,14,,14,,,generl protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1981371638777777/,,,,,,,
O'Fallon,W State St.,IL,US,2018-01-08,FB: 15,15,,15,,,Indivisible IL 12th,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/748702345321716/?notif_t=plan_user_associated&notif_id=1514426844998680,,,,,,,
Olympia,State Capitol,WA,US,2018-01-08,several hundred,200,,200,,,350 Eastside,Rallying for stronger climate policy,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1969448093273005/,http://www.theolympian.com/news/local/article193665754.html,,,,,,
Olympia,Washington State Capitol,WA,US,2018-01-09,7 indigenous women and their supporters ,7,,8,,,Santee Souix Tribe,Demanding restrictions on Kinder Mountain Trans Mountain Pipeline,0,,rally,0,0,0,0,1,1,http://www.aljazeera.com/news/2018/01/indigenous-women-occupy-capitol-climate-change-180109121751335.html,,,,,,,
Omaha,Walnut St.,NE,US,2018-01-08,about 20,20,,20,,,general protestors,Protesting proposed housing development,0,,protest,0,0,0,0,1,1,https://www.3newsnow.com/news/local-news/neighborhood-rallies-to-oppose-development-before-decision,,,,,,,
Oswego,City Hall,NY,US,2018-01-08,,,,,,,Indivisible Oswego,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://twitter.com/IndivisibleOsw/status/938450777349197826,,,,,,,
Phoenix,,AZ,US,2018-01-08,,,,,,,Center for Arizona Policy,Pro-Life March,0,,march,0,0,0,0,1,1,http://www.azpolicy.org/pw2018/,,,,,,,
Richmond,Redevelopment and Housing authority offices,VA,US,2018-01-08,,,,,,,general protestors,Protesting living conditions in certain units,0,,protest,0,0,0,0,1,1,http://wtvr.com/2018/01/08/community-rally-challenges-public-housing-leadership-after-heat-issues-1/,,,,,,,
