Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
Students,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Huntington Beach,CA
general protestors,Protesting Trump's decision to end DACA,1,700.0,2017-09-07,218,Iowa City,IA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-07,218,San Diego,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Stony Brook,NY
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-08,219,Jackson ,MS
general protestors,Protesting Trump's decision to end DACA,1,300.0,2017-09-08,219,Pittsburg ,KS
general protestors,Protesting Trump's decision to end DACA,1,400.0,2017-09-08,219,Portland,ME
general protestors,Protesting Trump's decision to end DACA,1,45.0,2017-09-08,219,Staunton ,VA
Idaho ACLU,Protesting Trump's decision to end DACA,1,200.0,2017-09-09,220,Boise,ID
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-09,220,Hicksville ,NY
general protestors,Protesting Trump's decision to end DACA,1,40.0,2017-09-09,220,Long Island,NY
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-09,220,New York,NY
general protestors,Protesting Trump's decision to end DACA,1,2000.0,2017-09-09,220,Oakland,CA
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-09,220,Ossining,NY
CoMo for Progress,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Boone County,IL
La Conexion Immigrant Solidarity Committee,Protesting Trump's decision to end DACA,1,26.0,2017-09-10,221,Bowling Green ,OH
Inclusive Dubuque; Indivisible Dubuque,Protesting Trump's decision to end DACA,1,80.0,2017-09-10,221,Dubuque ,IA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Las Vegas,NV
general protestors,Protesting Trump's decision to end DACA,1,250.0,2017-09-10,221,Petaluma,CA
general protestors,Protesting Trump's decision to end DACA,1,26.0,2017-09-10,221,Peterborough,NH
general protestors,Urging congress to pass DREAM Act,1,200.0,2017-09-10,221,Springfield,IL
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Tulsa,OK
Catalina United Methodist Church,Protesting Trump's decision to end DACA,1,13.0,2017-09-10,221,Tulsa,AZ
"
Hampton Roads Grassroots Progressive Coalition",Protesting Trump's decision to end DACA,1,80.0,2017-09-10,221,Richmond,VA
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-10,221,Winston Salem,NC
general protestors,Protesting Trump's decision to end DACA,1,80.0,2017-09-11,222,Green Bay,WI
ACLU people power; general protestors,Protesting Trump's decision to end DACA,1,150.0,2017-09-12,223,Cache Valley ,UT
ACLU Power People of Cache Valley,Protesting Trump's decision to end DACA,1,200.0,2017-09-12,223,Logan,UT
National CAPACD & SAALT,Protesting Trump's decision to end DACA,1,51.0,2017-09-12,223,Washington,DC
students,Protesting Trump's decision to end DACA,1,300.0,2017-09-12,223,Bakersfield,CA
UCO Hispanic Student Association; general protestors,Protesting Trump's decision to end DACA,1,139.5,2017-09-13,224,Edmond ,OK
general protestors,Protesting DACA decision,1,100.0,2017-09-13,224,Painseville,OH
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-13,224,Santa Clarita,CA
CCSU students,Rally for 2 clasmmate's parents who face deportation,1,100.0,2017-09-14,225,New Britain,CT
students,Protesting Trump's decision to end DACA,1,150.0,2017-09-14,225,Kentfield,CA
health care workers,"Protesting his stance on ACA, immigration, etc",1,200.0,2017-09-14,225,Lancaster,PA
DefenDemocracy CT,Protesting Trump's decision to end DACA,1,12.0,2017-09-14,225,Westport,CT
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-15,226,Norman,OK
general protestors,protesting DACA decision,1,5.0,2017-09-16,227,Astoria,NY
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-16,227,Boston ,MA
general protestors,Protesting Trump's decision to end DACA,1,3.0,2017-09-16,227,Huntsville ,AL
general protestors,Protesting Trump's decision to end DACA,1,300.0,2017-09-16,227,Little Rock,AR
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-16,227,Salt Lake City,UT
general protestors,Protesting Trumps DACA decision,1,100.0,2017-09-17,228,Marshall,TX
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-18,229,Modesto,CA
Undocumented youth ,Protesting Trump's decision to end DACA,1,32.0,2017-09-18,229,San Francisco,CA
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-18,229,Johnson City,TN
students; general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-18,229,Storrs ,CT
general protestors,"rally for the Westchester Immigrant Protection Act,",0,31.0,2017-09-18,229,Westchester,NY
Clean Power Lake County,Protesting Trump's decision to end DACA,1,100.0,2017-09-19,230,Waukegan,IL
general protestors,Asking Davis to vote for Dream Act,1,70.0,2017-09-20,231,Champaign,IL
general protestors,Rallying for restaurants forced to close due to ICE presence,1,24.0,2017-09-20,231,Jessamine County,KY
general protestors,"Against ICE, rally for immigrants",1,24.0,2017-09-20,231,Noicholasville,KY
general protestors,Protesting anti-sanctuary city bill,1,100.0,2017-09-22,233,New Orleans,LA
Toms River High School students,Protesting Trump's decision to end DACA,1,30.0,2017-09-22,233,Ocean City,NJ
students ,Protesting Trump's decision to end DACA,1,100.0,2017-09-22,233,Wichita ,KS
general protestors,protesting removal of pro-immigrant signs,1,24.0,2017-09-23,234,Chicago,IL
Dana Greene Jr. ,Protesting against police shooting; against Trump's comments on the NFL; and against anti-immigration sentiments ,1,5.0,2017-09-25,236,Ann Arbor ,MI
general protestors,Protesting deportation of local couple,1,100.0,2017-09-25,236,Hartford,CT
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-26,237,Washington,DC
